instance Boomer-SAT-W2 Boomer-MaxSAT
instance0 0.001 0.002
instance1 0.001 0.002
instance2 0.001 0.002
instance3 0.001 0.002
instance4 0.001 0.002
instance5 0.001 0.002
instance6 0.001 0.001
instance7 0.001 0.001
instance8 0.001 0.002
instance9 0.001 0.003
instance10 0.001 0.003
instance11 0.001 0.002
instance12 0.001 0.002
instance13 0.001 0.002
instance14 0.001 0.002
instance15 0.001 0.002
instance16 0.001 0.002
instance17 0.001 0.002
instance18 0.001 0.004
instance19 0.001 0.002
instance20 0.001 0.002
instance21 0.001 0.002
instance22 0.001 0.002
instance23 0.001 0.002
instance24 0.001 0.002
instance25 0.001 0.002
instance26 0.001 0.001
instance27 0.001 0.002
instance28 0.001 0.002
instance29 0.001 0.002
instance30 0.001 0.002
instance31 0.001 0.002
instance32 0.001 0.002
instance33 0.001 0.003
instance34 0.001 0.004
instance35 0.001 0.003
instance36 0.001 0.002
instance37 0.001 0.002
instance38 0.001 0.001
instance39 0.001 0.002
instance40 0.001 0.002
instance41 0.001 0.002
instance42 0.001 0.002
instance43 0.001 0.002
instance44 0.001 0.002
instance45 0.001 0.002
instance46 0.001 0.002
instance47 0.001 0.002
instance48 0.001 0.002
instance49 0.001 0.002
instance50 0.001 0.002
instance51 0.001 0.002
instance52 0.001 0.003
instance53 0.001 0.002
instance54 0.001 0.002
instance55 0.001 0.002
instance56 0.001 0.002
instance57 0.001 0.002
instance58 0.001 0.002
instance59 0.001 0.002
instance60 0.001 0.002
instance61 0.001 0.002
instance62 0.001 0.003
instance63 0.001 0.002
instance64 0.001 0.002
instance65 0.001 0.002
instance66 0.001 0.002
instance67 0.001 0.002
instance68 0.001 0.002
instance69 0.001 0.003
instance70 0.001 0.002
instance71 0.001 0.002
instance72 0.001 0.002
instance73 0.001 0.001
instance74 0.001 0.002
instance75 0.001 0.002
instance76 0.001 0.002
instance77 0.001 0.002
instance78 0.001 0.002
instance79 0.001 0.002
instance80 0.001 0.002
instance81 0.001 0.002
instance82 0.001 0.002
instance83 0.001 0.002
instance84 0.001 0.002
instance85 0.001 0.002
instance86 0.001 0.002
instance87 0.001 0.002
instance88 0.001 0.002
instance89 0.001 0.002
instance90 0.001 0.002
instance91 0.001 0.002
instance92 0.001 0.002
instance93 0.001 0.002
instance94 0.001 0.002
instance95 0.001 0.002
instance96 0.001 0.002
instance97 0.001 0.004
instance98 0.001 0.002
instance99 0.001 0.001
instance100 0.001 0.002
instance101 0.001 0.002
instance102 0.001 0.002
instance103 0.001 0.002
instance104 0.001 0.002
instance105 0.001 0.002
instance106 0.001 0.002
instance107 0.001 0.002
instance108 0.001 0.002
instance109 0.001 0.002
instance110 0.001 0.002
instance111 0.001 0.002
instance112 0.001 0.002
instance113 0.001 0.002
instance114 0.001 0.002
instance115 0.001 0.002
instance116 0.001 0.002
instance117 0.001 0.002
instance118 0.001 0.002
instance119 0.001 0.002
instance120 0.001 0.002
instance121 0.001 0.003
instance122 0.001 0.002
instance123 0.001 0.002
instance124 0.001 0.002
instance125 0.001 0.003
instance126 0.001 0.002
instance127 0.001 0.002
instance128 0.001 0.002
instance129 0.001 0.002
instance130 0.001 0.002
instance131 0.001 0.002
instance132 0.001 0.002
instance133 0.001 0.004
instance134 0.001 0.002
instance135 0.001 0.002
instance136 0.001 0.002
instance137 0.001 0.002
instance138 0.001 0.002
instance139 0.001 0.002
instance140 0.001 0.002
instance141 0.001 0.002
instance142 0.001 0.002
instance143 0.001 0.001
instance144 0.001 0.002
instance145 0.001 0.002
instance146 0.001 0.002
instance147 0.001 0.002
instance148 0.001 0.002
instance149 0.001 0.002
instance150 0.001 0.003
instance151 0.001 0.002
instance152 0.001 0.002
instance153 0.001 0.003
instance154 0.001 0.002
instance155 0.001 0.003
instance156 0.001 0.002
instance157 0.001 0.002
instance158 0.001 0.002
instance159 0.001 0.002
instance160 0.001 0.002
instance161 0.001 0.002
instance162 0.001 0.002
instance163 0.001 0.002
instance164 0.001 0.002
instance165 0.001 0.002
instance166 0.001 0.002
instance167 0.001 0.002
instance168 0.001 0.002
instance169 0.001 0.003
instance170 0.001 0.002
instance171 0.001 0.002
instance172 0.001 0.002
instance173 0.001 0.002
instance174 0.001 0.002
instance175 0.001 0.003
instance176 0.001 0.002
instance177 0.001 0.002
instance178 0.001 0.002
instance179 0.001 0.002
instance180 0.001 0.002
instance181 0.001 0.002
instance182 0.001 0.001
instance183 0.001 0.001
instance184 0.001 0.002
instance185 0.001 0.003
instance186 0.001 0.002
instance187 0.001 0.002
instance188 0.001 0.002
instance189 0.001 0.002
instance190 0.001 0.002
instance191 0.001 0.002
instance192 0.001 0.002
instance193 0.001 0.002
instance194 0.001 0.002
instance195 0.001 0.002
instance196 0.001 0.002
instance197 0.001 0.002
instance198 0.001 0.002
instance199 0.001 0.002
instance200 0.001 0.001
instance201 0.001 0.001
instance202 0.001 0.001
instance203 0.001 0.001
instance204 0.001 0.001
instance205 0.001 0.001
instance206 0.001 0.001
instance207 0.001 0.001
instance208 0.001 0.001
instance209 0.001 0.001
instance210 0.001 0.001
instance211 0.001 0.001
