instance Boomer-SAT-W2 XGBoost-MaxSAT
instance0 0.001 0.009
instance1 0.001 0.012
instance2 0.001 0.009
instance3 0.001 0.009
instance4 0.001 0.008
instance5 0.001 0.008
instance6 0.001 0.008
instance7 0.001 0.009
instance8 0.001 0.008
instance9 0.001 0.045
instance10 0.001 0.045
instance11 0.001 0.011
instance12 0.001 0.008
instance13 0.001 0.008
instance14 0.001 0.013
instance15 0.001 0.008
instance16 0.001 0.008
instance17 0.001 0.008
instance18 0.001 0.048
instance19 0.001 0.012
instance20 0.001 0.012
instance21 0.001 0.013
instance22 0.001 0.009
instance23 0.001 0.011
instance24 0.001 0.008
instance25 0.001 0.008
instance26 0.001 0.008
instance27 0.001 0.011
instance28 0.001 0.008
instance29 0.001 0.008
instance30 0.001 0.008
instance31 0.001 0.008
instance32 0.001 0.008
instance33 0.001 0.045
instance34 0.001 0.046
instance35 0.001 0.027
instance36 0.001 0.013
instance37 0.001 0.011
instance38 0.001 0.01
instance39 0.001 0.008
instance40 0.001 0.008
instance41 0.001 0.009
instance42 0.001 0.015
instance43 0.001 0.008
instance44 0.001 0.01
instance45 0.001 0.009
instance46 0.001 0.009
instance47 0.001 0.014
instance48 0.001 0.008
instance49 0.001 0.008
instance50 0.001 0.008
instance51 0.001 0.008
instance52 0.001 0.033
instance53 0.001 0.009
instance54 0.001 0.014
instance55 0.001 0.009
instance56 0.001 0.009
instance57 0.001 0.008
instance58 0.001 0.008
instance59 0.001 0.012
instance60 0.001 0.01
instance61 0.001 0.008
instance62 0.001 0.019
instance63 0.001 0.014
instance64 0.001 0.009
instance65 0.001 0.009
instance66 0.001 0.008
instance67 0.001 0.008
instance68 0.001 0.013
instance69 0.001 0.028
instance70 0.001 0.009
instance71 0.001 0.012
instance72 0.001 0.029
instance73 0.001 0.013
instance74 0.001 0.009
instance75 0.001 0.013
instance76 0.001 0.009
instance77 0.001 0.01
instance78 0.001 0.009
instance79 0.001 0.036
instance80 0.001 0.013
instance81 0.001 0.009
instance82 0.001 0.009
instance83 0.001 0.013
instance84 0.001 0.008
instance85 0.001 0.008
instance86 0.001 0.025
instance87 0.001 0.009
instance88 0.001 0.009
instance89 0.001 0.008
instance90 0.001 0.014
instance91 0.001 0.009
instance92 0.001 0.009
instance93 0.001 0.009
instance94 0.001 0.009
instance95 0.001 0.01
instance96 0.001 0.008
instance97 0.001 0.048
instance98 0.001 0.009
instance99 0.001 0.014
instance100 0.001 0.009
instance101 0.001 0.008
instance102 0.001 0.009
instance103 0.001 0.009
instance104 0.001 0.009
instance105 0.001 0.012
instance106 0.001 0.009
instance107 0.001 0.01
instance108 0.001 0.02
instance109 0.001 0.013
instance110 0.001 0.009
instance111 0.001 0.009
instance112 0.001 0.02
instance113 0.001 0.009
instance114 0.001 0.009
instance115 0.001 0.018
instance116 0.001 0.017
instance117 0.001 0.009
instance118 0.001 0.008
instance119 0.001 0.008
instance120 0.001 0.017
instance121 0.001 0.038
instance122 0.001 0.019
instance123 0.001 0.013
instance124 0.001 0.009
instance125 0.001 0.047
instance126 0.001 0.013
instance127 0.001 0.009
instance128 0.001 0.009
instance129 0.001 0.009
instance130 0.001 0.01
instance131 0.001 0.009
instance132 0.001 0.013
instance133 0.001 0.036
instance134 0.001 0.009
instance135 0.001 0.008
instance136 0.001 0.008
instance137 0.001 0.012
instance138 0.001 0.011
instance139 0.001 0.008
instance140 0.001 0.008
instance141 0.001 0.008
instance142 0.001 0.01
instance143 0.001 0.012
instance144 0.001 0.008
instance145 0.001 0.008
instance146 0.001 0.008
instance147 0.001 0.008
instance148 0.001 0.014
instance149 0.001 0.043
instance150 0.001 0.03
instance151 0.001 0.014
instance152 0.001 0.009
instance153 0.001 0.045
instance154 0.001 0.01
instance155 0.001 0.043
instance156 0.001 0.009
instance157 0.001 0.014
instance158 0.001 0.01
instance159 0.001 0.022
instance160 0.001 0.009
instance161 0.001 0.01
instance162 0.001 0.013
instance163 0.001 0.011
instance164 0.001 0.011
instance165 0.001 0.009
instance166 0.001 0.009
instance167 0.001 0.009
instance168 0.001 0.009
instance169 0.001 0.029
instance170 0.001 0.009
instance171 0.001 0.008
instance172 0.001 0.009
instance173 0.001 0.014
instance174 0.001 0.008
instance175 0.001 0.039
instance176 0.001 0.009
instance177 0.001 0.008
instance178 0.001 0.008
instance179 0.001 0.008
instance180 0.001 0.014
instance181 0.001 0.009
instance182 0.001 0.02
instance183 0.001 0.01
instance184 0.001 0.009
instance185 0.001 0.009
instance186 0.001 0.008
instance187 0.001 0.011
instance188 0.001 0.011
instance189 0.001 0.008
instance190 0.001 0.008
instance191 0.001 0.008
instance192 0.001 0.008
instance193 0.001 0.009
instance194 0.001 0.008
instance195 0.001 0.009
instance196 0.001 0.009
instance197 0.001 0.009
instance198 0.001 0.009
instance199 0.001 0.013
instance200 0.001 0.004
instance201 0.001 0.006
instance202 0.001 0.005
instance203 0.001 0.003
instance204 0.001 0.004
instance205 0.001 0.002
instance206 0.001 0.004
instance207 0.001 0.004
instance208 0.001 0.003
instance209 0.001 0.004
instance210 0.001 0.004
instance211 0.001 0.002
instance212 0.001 0.002
instance213 0.001 0.002
instance214 0.001 0.003
instance215 0.001 0.01
instance216 0.001 0.004
instance217 0.001 0.007
instance218 0.001 0.003
instance219 0.001 0.004
instance220 0.001 0.003
instance221 0.001 0.01
instance222 0.001 0.004
instance223 0.001 0.003
instance224 0.001 0.002
instance225 0.001 0.003
instance226 0.001 0.005
instance227 0.001 0.002
instance228 0.001 0.002
instance229 0.001 0.004
instance230 0.001 0.003
instance231 0.001 0.003
instance232 0.001 0.008
instance233 0.001 0.004
instance234 0.001 0.005
instance235 0.001 0.003
instance236 0.001 0.003
instance237 0.001 0.004
instance238 0.001 0.002
instance239 0.001 0.002
instance240 0.001 0.002
instance241 0.001 0.002
instance242 0.001 0.004
instance243 0.001 0.006
instance244 0.001 0.002
instance245 0.001 0.003
instance246 0.001 0.005
instance247 0.001 0.007
instance248 0.001 0.005
instance249 0.001 0.003
instance250 0.001 0.004
instance251 0.001 0.006
instance252 0.001 0.004
instance253 0.001 0.004
instance254 0.001 0.003
instance255 0.001 0.005
instance256 0.001 0.006
instance257 0.001 0.003
instance258 0.001 0.003
instance259 0.001 0.004
instance260 0.001 0.006
instance261 0.001 0.003
instance262 0.001 0.004
instance263 0.001 0.003
instance264 0.001 0.003
instance265 0.001 0.003
instance266 0.001 0.006
instance267 0.001 0.004
instance268 0.001 0.005
instance269 0.001 0.006
instance270 0.001 0.002
instance271 0.001 0.004
instance272 0.001 0.003
instance273 0.001 0.002
instance274 0.001 0.002
instance275 0.001 0.003
instance276 0.001 0.002
instance277 0.001 0.003
instance278 0.001 0.002
instance279 0.001 0.003
instance280 0.001 0.003
instance281 0.001 0.004
instance282 0.001 0.002
instance283 0.001 0.003
instance284 0.001 0.004
instance285 0.001 0.002
instance286 0.001 0.002
instance287 0.001 0.005
instance288 0.001 0.003
instance289 0.001 0.004
instance290 0.001 0.004
instance291 0.001 0.003
instance292 0.001 0.003
instance293 0.001 0.004
instance294 0.001 0.003
instance295 0.001 0.005
instance296 0.001 0.005
instance297 0.001 0.002
instance298 0.001 0.004
instance299 0.001 0.003
instance300 0.001 0.003
instance301 0.001 0.004
instance302 0.001 0.002
instance303 0.001 0.003
instance304 0.001 0.003
instance305 0.014 0.061
instance306 0.003 0.106
instance307 0.003 0.08
instance308 0.002 0.072
instance309 0.005 0.071
instance310 0.002 0.083
instance311 0.015 0.06
instance312 0.01 0.076
instance313 0.002 0.067
instance314 0.005 0.087
instance315 0.005 0.083
instance316 0.008 0.099
instance317 0.003 0.078
instance318 0.003 0.081
instance319 0.003 0.088
instance320 0.004 0.09
instance321 0.009 0.071
instance322 0.005 0.09
instance323 0.003 0.081
instance324 0.002 0.078
instance325 0.006 0.068
instance326 0.007 0.071
instance327 0.008 0.068
instance328 0.004 0.069
instance329 0.006 0.081
instance330 0.013 0.073
instance331 0.004 0.095
instance332 0.002 0.069
instance333 0.002 0.084
instance334 0.008 0.09
instance335 0.005 0.066
instance336 0.003 0.08
instance337 0.009 0.07
instance338 0.004 0.112
instance339 0.007 0.095
instance340 0.008 0.07
instance341 0.008 0.083
instance342 0.006 0.091
instance343 0.002 0.091
instance344 0.003 0.1
instance345 0.005 0.084
instance346 0.004 0.1
instance347 0.003 0.061
instance348 0.006 0.083
instance349 0.002 0.084
instance350 0.003 0.09
instance351 0.002 0.1
instance352 0.011 0.074
instance353 0.011 0.083
instance354 0.008 0.083
instance355 0.013 0.09
instance356 0.007 0.083
instance357 0.014 0.087
instance358 0.012 0.079
instance359 0.003 0.069
instance360 0.005 0.075
instance361 0.004 0.091
instance362 0.004 0.109
instance363 0.009 0.082
instance364 0.004 0.106
instance365 0.004 0.066
instance366 0.003 0.068
instance367 0.003 0.069
instance368 0.004 0.075
instance369 0.011 0.099
instance370 0.006 0.095
instance371 0.005 0.113
instance372 0.01 0.071
instance373 0.003 0.072
instance374 0.007 0.107
instance375 0.007 0.075
instance376 0.006 0.101
instance377 0.003 0.118
instance378 0.003 0.1
instance379 0.01 0.088
instance380 0.005 0.095
instance381 0.007 0.089
instance382 0.005 0.09
instance383 0.007 0.095
instance384 0.012 0.075
instance385 0.009 0.07
instance386 0.016 0.071
instance387 0.009 0.105
instance388 0.003 0.066
instance389 0.006 0.087
instance390 0.004 0.098
instance391 0.008 0.102
instance392 0.008 0.084
instance393 0.005 0.099
instance394 0.007 0.093
instance395 0.003 0.128
instance396 0.008 0.091
instance397 0.005 0.125
instance398 0.009 0.107
instance399 0.011 0.08
instance400 0.005 0.086
instance401 0.007 0.086
instance402 0.006 0.117
instance403 0.004 0.119
instance404 0.002 0.109
instance405 0.005 0.106
instance406 0.003 0.105
instance407 0.008 0.097
instance408 0.007 0.158
instance409 0.006 0.111
instance410 0.005 0.129
instance411 0.003 0.103
instance412 0.006 0.111
instance413 0.015 0.062
instance414 0.01 0.08
instance415 0.005 0.098
instance416 0.003 0.123
instance417 0.004 0.084
instance418 0.003 0.112
instance419 0.003 0.088
instance420 0.009 0.142
instance421 0.004 0.092
instance422 0.008 0.095
instance423 0.004 0.108
instance424 0.007 0.1
instance425 0.007 0.084
instance426 0.005 0.088
instance427 0.003 0.092
instance428 0.006 0.098
instance429 0.002 0.111
instance430 0.011 0.082
instance431 0.012 0.101
instance432 0.015 0.089
instance433 0.004 0.078
instance434 0.005 0.096
instance435 0.004 0.079
instance436 0.008 0.09
instance437 0.009 0.077
instance438 0.005 0.099
instance439 0.007 0.107
instance440 0.003 0.088
instance441 0.009 0.101
instance442 0.004 0.085
instance443 0.004 0.125
instance444 0.003 0.145
instance445 0.015 0.08
instance446 0.008 0.074
instance447 0.008 0.085
instance448 0.018 0.099
instance449 0.015 0.109
instance450 0.007 0.104
instance451 0.006 0.104
instance452 0.003 0.113
instance453 0.006 0.11
instance454 0.006 0.103
instance455 0.003 0.089
instance456 0.003 0.086
instance457 0.005 0.102
instance458 0.002 0.09
instance459 0.002 0.081
instance460 0.006 0.102
instance461 0.01 0.097
instance462 0.004 0.117
instance463 0.003 0.107
instance464 0.005 0.091
instance465 0.002 0.13
instance466 0.004 0.113
instance467 0.011 0.097
instance468 0.003 0.109
instance469 0.004 0.105
instance470 0.004 0.098
instance471 0.008 0.104
instance472 0.007 0.089
instance473 0.005 0.123
instance474 0.005 0.101
instance475 0.009 0.087
instance476 0.01 0.099
instance477 0.01 0.084
instance478 0.005 0.139
instance479 0.013 0.124
instance480 0.004 0.137
instance481 0.006 0.094
instance482 0.012 0.112
instance483 0.005 0.108
instance484 0.004 0.116
instance485 0.007 0.118
instance486 0.003 0.11
instance487 0.011 0.102
instance488 0.008 0.1
instance489 0.014 0.113
instance490 0.007 0.103
instance491 0.002 0.083
instance492 0.002 0.111
instance493 0.006 0.126
instance494 0.006 0.078
instance495 0.012 0.081
instance496 0.009 0.096
instance497 0.006 0.105
instance498 0.007 0.077
instance499 0.005 0.107
instance500 0.003 0.098
instance501 0.011 0.098
instance502 0.011 0.099
instance503 0.005 0.101
instance504 0.003 0.091
instance505 0.001 0.006
instance506 0.001 0.003
instance507 0.001 0.004
instance508 0.001 0.004
instance509 0.001 0.004
instance510 0.001 0.005
instance511 0.001 0.006
instance512 0.001 0.006
instance513 0.001 0.007
instance514 0.001 0.004
instance515 0.001 0.004
instance516 0.001 0.004
instance517 0.001 0.004
instance518 0.001 0.004
instance519 0.001 0.003
instance520 0.001 0.004
instance521 0.001 0.008
instance522 0.001 0.006
instance523 0.001 0.004
instance524 0.001 0.003
instance525 0.001 0.007
instance526 0.001 0.004
instance527 0.001 0.006
instance528 0.001 0.005
instance529 0.001 0.004
instance530 0.001 0.004
instance531 0.001 0.003
instance532 0.001 0.003
instance533 0.001 0.007
instance534 0.001 0.005
instance535 0.001 0.003
instance536 0.001 0.003
instance537 0.001 0.004
instance538 0.001 0.003
instance539 0.001 0.003
instance540 0.001 0.004
instance541 0.001 0.003
instance542 0.001 0.006
instance543 0.001 0.008
instance544 0.001 0.004
instance545 0.001 0.004
instance546 0.001 0.003
instance547 0.001 0.003
instance548 0.001 0.004
instance549 0.001 0.003
instance550 0.001 0.003
instance551 0.001 0.004
instance552 0.001 0.003
instance553 0.001 0.003
instance554 0.001 0.003
instance555 0.001 0.006
instance556 0.001 0.006
instance557 0.001 0.006
instance558 0.001 0.006
instance559 0.001 0.004
instance560 0.001 0.004
instance561 0.001 0.004
instance562 0.001 0.004
instance563 0.001 0.007
instance564 0.001 0.004
instance565 0.001 0.006
instance566 0.001 0.004
instance567 0.001 0.004
instance568 0.001 0.003
instance569 0.001 0.004
instance570 0.001 0.008
instance571 0.001 0.006
instance572 0.001 0.003
instance573 0.001 0.005
instance574 0.001 0.008
instance575 0.001 0.004
instance576 0.001 0.005
instance577 0.001 0.004
instance578 0.001 0.004
instance579 0.001 0.004
instance580 0.001 0.004
instance581 0.001 0.004
instance582 0.001 0.003
instance583 0.001 0.003
instance584 0.001 0.003
instance585 0.001 0.003
instance586 0.001 0.003
instance587 0.001 0.003
instance588 0.001 0.007
instance589 0.001 0.003
instance590 0.001 0.003
instance591 0.001 0.003
instance592 0.001 0.007
instance593 0.001 0.004
instance594 0.001 0.004
instance595 0.001 0.004
instance596 0.001 0.004
instance597 0.001 0.006
instance598 0.001 0.005
instance599 0.001 0.003
instance600 0.001 0.003
instance601 0.001 0.003
instance602 0.001 0.003
instance603 0.001 0.003
instance604 0.001 0.003
